abbr;name;votes;seats
ANO;ANO 2011;1500113;78
ODS & SsCR;Civic Democratic Party;572962;25
Pirati;Czech Pirate Party;546393;22
SPD;Freedom and Direct Democracy;538574;22
KSCM;Communist Party of Bohemia and Moravia;393100;15
CSSD;Czech Social Democratic Party;368347;15
KDU-CSL;KDU–ČSL;293643;10
TOP 09;TOP 09;268811;7
STAN;Mayors and Independents;262157;6
Svobodní;Party of Free Citizens;79229;0
Zelení;Green Party;74335;0
Rozumní;Party of Common Sense;36528;0
Realisté;Realists;35995;0
SPO;Party of Civic Rights;18556;0
SPORTOVCI;Sportsmen;10593;0
DSSS;Workers' Party of Social Justice;10402;0
SPR-RSČ;SPR–RSČ;9857;0
ŘN-VU;Order of Nation – Patriotic Union;8735;0
ODA;Civic Democratic Alliance;8030;0
BPI;Bloc against Islamization – Defense of the Homeland;5077;0
Referendum o EU;Referendum on the European Union;4276;0
Radostné Česko;Happy Czechia;3852;0
CESTA;Path of Responsible Society;3758;0
DV 2016;Good Choice 2016;3722;0
ČSNS;Czech National Social Party;1573;0
